1,"北京","Beijing Shi","110000","BJ"
2,"天津","Tianjin Shi","120000","TJ"
3,"河北","Hebei Sheng","130000","HE"
4,"山西","Shanxi Sheng","140000","SX"
5,"内蒙古","Nei Mongol Zizhiqu","150000","NM"
6,"辽宁","Liaoning Sheng","210000","LN"
7,"吉林","Jilin Sheng","220000","JL"
8,"黑龙江","Heilongjiang Sheng","230000","HL"
9,"上海","Shanghai Shi","310000","SH"
10,"江苏","Jiangsu Sheng","320000","JS"
11,"浙江","Zhejiang Sheng","330000","ZJ"
12,"安徽","Anhui Sheng","340000","AH"
13,"福建","Fujian Sheng","350000","FJ"
14,"江西","Jiangxi Sheng","360000","JX"
15,"山东","Shandong Sheng","370000","SD"
16,"河南","Henan Sheng","410000","HA"
17,"湖北","Hubei Sheng","420000","HB"
18,"湖南","Hunan Sheng","430000","HN"
19,"广东","Guangdong Sheng","440000","GD"
20,"广西","Guangxi Zhuangzu Zizhiqu","450000","GX"
21,"海南","Hainan Sheng","460000","HI"
22,"重庆","Chongqing Shi","500000","CQ"
23,"四川","Sichuan Sheng","510000","SC"
24,"贵州","Guizhou Sheng","520000","GZ"
25,"云南","Yunnan Sheng","530000","YN"
26,"西藏","Xizang Zizhiqu","540000","XZ"
27,"陕西","Shanxi Sheng","610000","SN"
28,"甘肃","Gansu Sheng","620000","GS"
29,"青海","Qinghai Sheng","630000","QH"
30,"宁夏","Ningxia Huizu Zizhiqu","640000","NX"
31,"新疆","Xinjiang Uygur Zizhiqu","650000","XJ"
32,"台湾","Taiwan Sheng","710000","TW"
33,"香港","Hongkong Tebiexingzhengqu","810000","HK"
34,"市辖区","Shixiaqu","110100",
35,"东城区","Dongcheng Qu","110101","DCQ"
36,"西城区","Xicheng Qu","110102","XCQ"
37,"崇文区","Chongwen Qu","110103","CWQ"
38,"宣武区","Xuanwu Qu","110104","XWQ"
39,"朝阳区","Chaoyang Qu","110105","CYQ"
40,"丰台区","Fengtai Qu","110106","FTQ"
41,"石景山区","Shijingshan Qu","110107","SJS"
42,"海淀区","Haidian Qu","110108","HDN"
43,"门头沟区","Mentougou Qu","110109","MTG"
44,"房山区","Fangshan Qu","110111","FSQ"
45,"通州区","Tongzhou Qu","110112","TZQ"
46,"顺义区","Shunyi Qu","110113","SYI"
47,"县","Xian","110200",
48,"昌平县","Changping Xian","110221","CPX"
49,"大兴县","Daxing Xian","110224","DXX"
50,"平谷县","Pinggu Xian","110226","PGU"
51,"怀柔县","Huairou Xian","110227","HRX"
52,"密云县","Miyun Xian","110228","MYN"
53,"延庆县","Yanqing Xian","110229","YQX"
54,"市辖区","Shixiaqu","120100",
55,"和平区","Heping Qu","120101","HPG"
56,"河东区","Hedong Qu","120102","HDQ"
57,"河西区","Hexi Qu","120103","HXQ"
58,"南开区","Nankai Qu","120104","NKQ"
59,"河北区","Hebei Qu","120105","HBQ"
60,"红桥区","Hongqiao Qu","120106","HQO"
61,"塘沽区","Tanggu Qu","120107","TGA"
62,"汉沽区","Hangu Qu","120108","HGQ"
63,"大港区","Dagang Qu","120109","DGJ"
64,"东丽区","Dongli Qu","120110","DLI"
65,"西青区","Xiqing Qu","120111","XQG"
66,"津南区","Jinnan Qu","120112","JNQ"
67,"北辰区","Beichen Qu","120113","BCQ"
68,"县","Xian","120200",
69,"宁河县","Ninghe Xian","120221","NHE"
70,"武清县","Wuqing Xian","120222","WQX"
71,"静海县","Jinghai Xian","120223","JHT"
72,"宝坻县","Baodi Xian","120224","BDI"
73,"蓟县","Ji Xian","120225","JIT"
74,"石家庄市","Shijiazhuang Shi","130100","SJW"
75,"市辖区","Shixiaqu","130101",
76,"长安区","Chang,an Qu","130102","CAQ"
77,"桥东区","Qiaodong Qu","130103","QDQ"
78,"桥西区","Qiaoxi Qu","130104","QXQ"
79,"新华区","Xinhua Qu","130105","XHK"
80,"郊区","Jiaoqu","130106","JQS"
81,"井陉矿区","Jingxing Kuangqu","130107","JXK"
82,"井陉县","Jingxing Xian","130121","JXJ"
83,"正定县","Zhengding Xian","130123","ZDJ"
84,"栾城县","Luancheng Xian","130124","LCG"
85,"行唐县","Xingtang Xian","130125","XTG"
86,"灵寿县","Lingshou Xian","130126","LSO"
87,"高邑县","Gaoyi Xian","130127","GYJ"
88,"沈泽县","Shenze Xian","130128","SZE"
89,"赞皇县","Zanhuang Xian","130129","ZHG"
90,"无极县","Wuji Xian","130130","WJI"
91,"平山县","Pingshan Xian","130131","PSH"
92,"元氏县","Yuanshi Xian","130132","YSI"
93,"赵县","Zhao Xian","130133","ZAO"
94,"辛集市","Xinji Shi","130181","XJS"
95,"藁城市","Gaocheng Shi","130182","GCS"
96,"晋州市","Jinzhou Shi","130183","JZJ"
97,"新乐市","Xinle Shi","130184","XLE"
98,"鹿泉市","Luquan Shi","130185","LUQ"
99,"唐山市","Tangshan Shi","130200","TGS"
100,"市辖区","Shixiaqu","130201",
101,"路南区","Lunan Qu","130202","LNB"
102,"路北区","Lubei Qu","130203","LBQ"
103,"古冶区","Guye Qu","130204","GYE"
104,"开平区","Kaiping Qu","130205","KPQ"
105,"新区","Xin Qu","130206","XNQ"
106,"丰润县","Fengrun Xian","130221","FRN"
107,"滦县","Luan Xian","130223","LUA"
108,"滦南县","Luannan Xian","130224","LNJ"
109,"乐亭县","Leting Xian","130225","LTJ"
110,"迁西县","Qianxi Xian","130227","QXX"
111,"玉田县","Yutian Xian","130229","YTJ"
112,"唐海县","Tanghai Xian","130230","THA"
113,"遵化市","Zunhua Shi","130281","ZNH"
114,"丰南市","Fengnan Shi","130282","FNN"
115,"迁安市","Qian,an Shi","130283","QAS"
116,"秦皇岛市","Qinhuangdao Shi","130300","SHP"
117,"市辖区","Shixiaqu","130301",
118,"海港区","Haigang Qu","130302","HGG"
119,"山海关区","Shanhaiguan Qu","130303","SHG"
120,"北戴河区","Beidaihe Qu","130304","BDH"
121,"青龙满族自治县","Qinglong Manzu Zizhixian","130321","QLM"
122,"昌黎县","Changli Xian","130322","CGL"
123,"抚宁县","Funing Xian","130323","FUN"
124,"卢龙县","Lulong Xian","130324","LLG"
125,"邯郸市","Handan Shi","130400","HDS"
126,"市辖区","Shixiaqu","130401",
127,"邯山区","Hanshan Qu","130402","HHD"
128,"丛台区","Congtai Qu","130403","CTQ"
129,"复兴区","Fuxing Qu","130404","FXQ"
130,"峰峰矿区","Fengfeng Kuangqu","130406","FFK"
131,"邯郸县","Handan Xian","130421","HDX"
132,"临漳县","Linzhang Xian","130423","LNZ"
